"id","id_raw","foray_key_raw","foray_key","fungi_name","fungi_name_raw","current_fungi_name","current_fungi_name_raw","common_name","common_name_raw","id_1","id_raw_1","site_key_raw","site_key","foray_date","foray_date_raw","foray_location","foray_location_raw","id_2","id_raw_2","month","month_1","month_raw","month_raw_1"
"2","2","75","2002/09/21 - Engelmann Woods","Daedaleopsis confragosa","Daedaleopsis confragosa","Daedaleopsis confragosa var. confragosa","Daedaleopsis confragosa var. confragosa","Blushing bracket ","Blushing bracket ","446","446","23","Engelmann Woods","2002-09-21","2002-09-21 05:00:00","Engelmann Woods","Engelmann Woods","75","75","",""
"3","3","75","2002/09/21 - Engelmann Woods","Coprinus atramentarius","Coprinus atramentarius","Coprinopsis atramentaria","Coprinopsis atramentaria","","","371","371","23","Engelmann Woods","2002-09-21","2002-09-21 05:00:00","Engelmann Woods","Engelmann Woods","75","75","",""
"4","4","75","2002/09/21 - Engelmann Woods","Galiella rufa","Galiella rufa","Galiella rufa","Galiella rufa","Hairy rubber cup ","Hairy rubber cup ","491","491","23","Engelmann Woods","2002-09-21","2002-09-21 05:00:00","Engelmann Woods","Engelmann Woods","75","75","",""
"5","5","75","2002/09/21 - Engelmann Woods","Clavicorona pyxidata","Clavicorona pyxidata","Artomyces pyxidatus","Artomyces pyxidatus","Crown-tipped Coral ","Crown-tipped Coral ","313","313","23","Engelmann Woods","2002-09-21","2002-09-21 05:00:00","Engelmann Woods","Engelmann Woods","75","75","",""
"6","6","75","2002/09/21 - Engelmann Woods","Trichaptum biformis","Trichaptum biformis","","","","","1409","1409","23","Engelmann Woods","2002-09-21","2002-09-21 05:00:00","Engelmann Woods","Engelmann Woods","75","75","",""
"7","7","75","2002/09/21 - Engelmann Woods","Calocera cornea","Calocera cornea","Calocera cornea","Calocera cornea","Club-like tuning fork ","Club-like tuning fork ","246","246","23","Engelmann Woods","2002-09-21","2002-09-21 05:00:00","Engelmann Woods","Engelmann Woods","75","75","",""
"8","8","76","2002/10/26 - Pickle Spring","Cortinarius corrugatus","Cortinarius corrugatus","Cortinarius corrugatus","Cortinarius corrugatus","","","388","388","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"9","9","76","2002/10/26 - Pickle Spring","Gymnopilus spectabilis","Gymnopilus spectabilis","Gymnopilus junonius","Gymnopilus junonius","Spectacular rustgill ","Spectacular rustgill ","533","533","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"10","10","76","2002/10/26 - Pickle Spring","Amanita virosa","Amanita virosa","Amanita virosa","Amanita virosa","European Destroying Angel","European Destroying Angel","110","110","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"11","11","76","2002/10/26 - Pickle Spring","Amanita citrina","Amanita citrina","Amanita citrina","Amanita citrina","","","52","52","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"12","12","76","2002/10/26 - Pickle Spring","Amanita polypyramis","Amanita polypyramis","Amanita polypyramis","Amanita polypyramis","Plateful of Pyramids Lepidella","Plateful of Pyramids Lepidella","92","92","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"13","13","76","2002/10/26 - Pickle Spring","Amanita cokeri","Amanita cokeri","Amanita cokeri","Amanita cokeri","Coker's Lepidella","Coker's Lepidella","55","55","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"14","14","76","2002/10/26 - Pickle Spring","Lycoperdon pyriforme","Lycoperdon pyriforme","Lycoperdon pyriforme","Lycoperdon pyriforme","Pear-shaped Puffball ","Pear-shaped Puffball ","872","872","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"15","15","76","2002/10/26 - Pickle Spring","Lepista nuda","Lepista nuda","Lepista nuda","Lepista nuda","Wood blewit ","Wood blewit ","824","824","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"16","16","76","2002/10/26 - Pickle Spring","Armillaria mellea","Armillaria mellea","Armillaria mellea","Armillaria mellea","Honey fungus","Honey fungus","130","130","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"17","17","76","2002/10/26 - Pickle Spring","Armillaria caligata","Armillaria caligata","Tricholoma caligatum","Tricholoma caligatum","","","128","128","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"18","18","76","2002/10/26 - Pickle Spring","Hericium erinaceus","Hericium erinaceus","Hericium erinaceus","Hericium erinaceus","Bearded tooth ","Bearded tooth ","585","585","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"19","19","76","2002/10/26 - Pickle Spring","Suillelus brevipes","Suillelus brevipes","","","","","1334","1334","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"20","20","76","2002/10/26 - Pickle Spring","Suillus cothurnatus","Suillus cothurnatus","Suillus cothurnatus","Suillus cothurnatus","Baggy-veiled Suillus ","Baggy-veiled Suillus ","1338","1338","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"21","21","76","2002/10/26 - Pickle Spring","Suillus hirtellus","Suillus hirtellus","Suillus hirtellus","Suillus hirtellus","","","1340","1340","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"22","22","76","2002/10/26 - Pickle Spring","Trametes elegans","Trametes elegans","Lenzites elegans","Lenzites elegans","","","1372","1372","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
"23","23","76","2002/10/26 - Pickle Spring","Trametes versicolor","Trametes versicolor","Trametes versicolor","Trametes versicolor","Turkeytail ","Turkeytail ","1380","1380","50","Pickle Spring","2002-10-26","2002-10-26 05:00:00","Pickle Spring","Pickle Spring","76","76","",""
